City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
563,Memphis,US,75.33,few clouds,35.1495,-90.04899999999999,"Crowne Plaza Memphis Downtown, an IHG Hotel"
564,Arcos,BR,78.12,broken clouds,-20.2819,-45.5394,Hotel Real Palace
566,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
567,Santa Luzia,BR,81.5,scattered clouds,-19.7697,-43.8514,Pousada Chao Earth
572,Manjeshwar,IN,81.55,broken clouds,12.7194,74.8861,SOOFINAGAR
573,El Campo,US,81.75,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
574,Nālāgarh,IN,82.02,clear sky,31.05,76.7167,Fort Nalagarh
575,Isangel,VU,75.04,scattered clouds,-19.55,169.2667,Tanna Lodge
577,Massaguet,TD,82.22,overcast clouds,12.4755,15.4365,Alwatane
578,Vinces,EC,73.87,overcast clouds,-1.55,-79.7333,El Señor de los Caballos Hotel - Spa
579,Yola,NG,73.53,overcast clouds,9.2,12.4833,Muna Hotel
581,Matamoros,MX,83.1,clear sky,25.5333,-103.25,Quinta Belem
584,Bone,ID,81.97,few clouds,-9.828,124.4458,Yonathan Saefatu
587,Mandera,KE,75.22,few clouds,3.9366,41.867,Kornesh Hotel and Lodging
588,Americus,US,75.33,overcast clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
594,Monrovia,LR,76.3,moderate rain,6.3005,-10.7969,Sunset Inn
597,Maragogi,BR,73.85,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
598,Humberto de Campos,BR,76.3,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
600,Pachino,IT,76.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
602,Morgan City,US,78.8,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
604,Distrikt Brokopondo,SR,77.74,overcast clouds,4.75,-55.1667,Matu Island
606,Paredon,MX,79.95,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
608,Puerto Palomas,MX,79.93,broken clouds,31.7667,-107.6167,Hotel San Carlos
621,Rayachoti,IN,84.63,overcast clouds,14.05,78.75,Swetha lodge
623,Voh,NC,77.5,clear sky,-20.9667,164.7,Le gîte du Koniambo
625,Acoyapa,NI,74.98,overcast clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
627,Flinders,AU,78.21,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
629,Mogadishu,SO,77.2,clear sky,2.0371,45.3438,Hotel Juba
631,Eydhafushi,MV,82.69,overcast clouds,5.1033,73.0708,Soneva Fushi
632,Dakar,SN,76.08,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
633,Rāyadrug,IN,77.04,overcast clouds,14.7,76.8667,Mali arts
635,Tual,ID,80.17,broken clouds,-5.6667,132.75,Grand Vilia Hotel
636,Boussé,BF,75.49,light rain,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
637,Haapiti,PF,82.13,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
